state,district_name,nces_id,corona,covid,n_links,links
Alabama,Elmore County,0101290,TRUE,TRUE,1,"http://www.elmoreco.comjavascript:;, http://www.elmoreco.comjavascript:;"
Alabama,Enterprise City,0101320,FALSE,TRUE,1,"http://www.enterpriseschools.net../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=428&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=11656&PageID=1, http://www.enterpriseschools.net../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=428&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=11656&PageID=1"
Alabama,Etowah County,0101380,TRUE,TRUE,3,"http://www.ecboe.org/news/what_s_new/c_o_v_i_d-19_update, http://www.ecboe.org/news/what_s_new/c_o_v_i_d-19_update, http://www.ecboe.org/news/what_s_new/c_o_v_i_d-19_update, http://www.ecboe.org/news/what_s_new/c_o_v_i_d-19_update, http://www.ecboe.org/news/what_s_new/c_o_v_i_d-19_update, http://www.ecboe.org/news/what_s_new/c_o_v_i_d-19_update"
Alabama,Fayette County,0101470,TRUE,TRUE,2,"http://www.fayette.k12.al.us/domain/673, http://www.fayette.k12.al.us../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=161&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=3110&PageID=1, http://www.fayette.k12.al.us/domain/673, http://www.fayette.k12.al.us../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=161&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=3110&PageID=1"
Alabama,Florence City,0101530,FALSE,TRUE,1,"http://www.florencek12.org/site/Default.aspx?PageID=4075, http://www.florencek12.org/site/Default.aspx?PageID=4075"
Alabama,Fort Payne City,0101560,TRUE,TRUE,1,"http://www.ftpayk12.org/Page/1766, http://www.ftpayk12.org/Page/1766"
Alabama,Franklin County,0101590,TRUE,TRUE,4,"http://www.franklin.k12.al.us/cms/lib/AL50000570/Centricity/ModuleInstance/55/Anxiety%20in%20Students%20Coronavirus%20Pandemic.pdf, http://www.franklin.k12.al.us/cms/lib/AL50000570/Centricity/ModuleInstance/55/Coronavirus%20Spanish%202020.pdf, http://www.franklin.k12.al.us/cms/lib/AL50000570/Centricity/ModuleInstance/55/COVID%2019%20Meal%20Plan.pdf, http://www.franklin.k12.al.us/cms/lib/AL50000570/Centricity/ModuleInstance/55/COVID%2019%20Meal%20Plan%20Spanish%20Translation.pdf, http://www.franklin.k12.al.us/cms/lib/AL50000570/Centricity/ModuleInstance/55/Anxiety%20in%20Students%20Coronavirus%20Pandemic.pdf, http://www.franklin.k12.al.us/cms/lib/AL50000570/Centricity/ModuleInstance/55/Coronavirus%20Spanish%202020.pdf, http://www.franklin.k12.al.us/cms/lib/AL50000570/Centricity/ModuleInstance/55/COVID%2019%20Meal%20Plan.pdf, http://www.franklin.k12.al.us/cms/lib/AL50000570/Centricity/ModuleInstance/55/COVID%2019%20Meal%20Plan%20Spanish%20Translation.pdf"
Alabama,Geneva County,0101660,TRUE,FALSE,1,"http://www.genevacountyschools.comhttps://drive.google.com/file/d/1BP7N3T1Dc-lrsOdWul_G4zBfLnpD0cdA/view?usp=sharing, http://www.genevacountyschools.comhttps://drive.google.com/file/d/1BP7N3T1Dc-lrsOdWul_G4zBfLnpD0cdA/view?usp=sharing"
Alabama,Greene County,0101680,TRUE,TRUE,1,"http://www.greene.k12.al.us/cms/lib/AL50000544/Centricity/ModuleInstance/258/Coronavirus.pdf, http://www.greene.k12.al.us/cms/lib/AL50000544/Centricity/ModuleInstance/258/Coronavirus.pdf"
Alabama,Guntersville City,0101690,TRUE,TRUE,6,"http://www.guntersvilleboe.com/Domain/379, http://www.guntersvilleboe.com/Page/2315, http://www.guntersvilleboe.com../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=19&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=3541&PageID=1, http://www.guntersvilleboe.com../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=19&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=3388&PageID=1, http://www.guntersvilleboe.com/cms/lib/AL01901419/Centricity/ModuleInstance/19/CORONA_PARENT.pdf, http://www.guntersvilleboe.com/cms/lib/AL01901419/Centricity/ModuleInstance/19/School%20Of%20Guntersville%20COVID-19%20Letter.pdf, http://www.guntersvilleboe.com/Domain/379, http://www.guntersvilleboe.com/Page/2315, http://www.guntersvilleboe.com../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=19&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=3541&PageID=1, http://www.guntersvilleboe.com../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=19&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=3388&PageID=1, http://www.guntersvilleboe.com/cms/lib/AL01901419/Centricity/ModuleInstance/19/CORONA_PARENT.pdf, http://www.guntersvilleboe.com/cms/lib/AL01901419/Centricity/ModuleInstance/19/School%20Of%20Guntersville%20COVID-19%20Letter.pdf"
