district-name,state,nces-id,website-url
ALDEN-CONGER PUBLIC SCHOOL DISTRICT,Minnesota,2703030,http://www.alden-conger.org/
ALDER ELEM,Montana,3017460,NA
ALDINE ISD,Texas,4807710,http://www.aldineisd.org
ALDO LEOPOLD CHARTER,New Mexico,3500138,NA
ALEDO ISD,Texas,4807780,http://aledo.schoolfusion.us
ALEGENT/IMMANUEL RTC,Nebraska,3100181,NA
ALEUTIAN REGION SCHOOL DISTRICT,Alaska,0200010,http://www.aleutregion.org
ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,Alaska,0200007,http://www.aebsd.org
ALEX,Oklahoma,4002670,http://www.alex.k12.ok.us/
ALEXANDER 2,North Dakota,3801760,http://www.alexander.k12.nd.us
ALEXANDER CENTRAL SCHOOL DISTRICT,New York,3602580,http://www.alexandercsd.org
ALEXANDER CITY,Alabama,0100030,http://www.alexcityschools.net
ALEXANDER COUNTY SCHOOLS,North Carolina,3700090,http://www.alexander.k12.nc.us
ALEXANDER LOCAL,Ohio,3904590,http://www.alexanderschools.org/
ALEXANDER PUBLIC SCHOOLS,Maine,2302280,NA
ALEXANDER VALLEY UNION ELEMENTARY,California,0601890,http://www.alexandervalleyusd.org
ALEXANDRIA CENTRAL SCHOOL DISTRICT,New York,3602670,http://www.alexandriacentral.org
ALEXANDRIA CITY PBLC SCHS,Virginia,5100120,http://www.acps.k12.va.us
ALEXANDRIA COMMUNITY SCHOOL CORP,Indiana,1800120,http://alex.k12.in.us/
ALEXANDRIA PUBLIC SCHOOL DISTRICT,Minnesota,2703060,http://www.alexandria.k12.mn.us/
ALEXANDRIA TOWNSHIP SCHOOL DISTRICT,New Jersey,3400690,http://www.alexandriaschools.org
ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,New York,3602700,http://www.aacs.wnyric.org
ALGIERS TECHNOLOGY ACADEMY,LOUISIANA,2200264,NA
ALGOMA SCHOOL DISTRICT,Wisconsin,5500150,http://www.algomawolves.org
ALGONA COMM SCHOOL DISTRICT,Iowa,1903360,http://www.algona.k12.ia.us
ALGONAC COMMUNITY SCHOOL DISTRICT,Michigan,2602190,http://www.algonac.k12.mi.us
ALHAMBRA ELEMENTARY DISTRICT,Arizona,0400600,http://www.alhambraesd.org
ALHAMBRA UNIFIED,California,0600153,http://www.ausd.us
ALICE ISD,Texas,4807800,http://www.aliceisd.net
ALICE M HARTE ELEMENTARY CHARTER SCHOOL,LOUISIANA,2200279,NA
ALIEF ISD,Texas,4807830,http://www.aliefisd.net
ALIEF MONTESSORI COMMUNITY SCHOOL,Texas,4800035,http://www.aliefmontessori.org
ALINE-CLEO,Oklahoma,4002720,http://alinecleo.k12.ok.us
ALIQUIPPA SD,Pennsylvania,4202130,http://www.quipsd.org
ALISAL UNION,California,0601950,http://www.alisal.org
ALL ABOARD CHARTER SCHOOL,Arizona,0400396,http://allaboardcharter.com
ALLAMAKEE COMM SCHOOL DISTRICT,Iowa,1903390,http://www.allamakee.k12.ia.us
ALLAMUCHY TOWNSHIP SCHOOL DISTRICT,New Jersey,3400720,http://www.aes.k12.nj.us
ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,Michigan,2680100,NA
ALLEGAN PUBLIC SCHOOLS,Michigan,2602220,http://www.alleganpublicschools.org
ALLEGANY COUNTY PUBLIC SCHOOLS,Maryland,2400030,http://www.acpsmd.org
ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,New York,3600015,http://www.alcsny.org
ALLEGHANY CO PBLC SCHS,Virginia,5100152,http://www.alleghany.k12.va.us/
ALLEGHANY COUNTY SCHOOLS,North Carolina,3700120,http://www.alleghany.k12.nc.us
ALLEGHENY IU 3,Pennsylvania,4289130,http://www.aiu3.net
ALLEGHENY VALLEY SD,Pennsylvania,4202190,http://www.avsdweb.org
ALLEGHENY-CLARION VALLEY SD,Pennsylvania,4202310,http://www.acvsd.org
ALLEN,Oklahoma,4002760,http://www.allen.k12.ok.us
ALLEN CONSOLIDATED SCHOOLS,Nebraska,3102880,NA
ALLEN COUNTY,Kentucky,2100070,NA
ALLEN COUNTY ESC,Ohio,3904574,NA
ALLEN EAST LOCAL,Ohio,3904575,http://www.ae.k12.oh.us/
ALLEN ISD,Texas,4807890,http://www.allenisd.org
ALLEN PARISH,Louisiana,2200060,NA
ALLEN PARK PUBLIC SCHOOLS,Michigan,2602520,http://www.apps.k12.mi.us/
ALLEN VILLAGE,Missouri,2900025,http://WWW.ALLENVILLAGESCHOOL.COM
ALLEN-BOWDEN,Oklahoma,4002790,http://www.allenbowden.k12.ok.us/
ALLEN-COCHRAN ENTERPRISES  INC.,Arizona,0400111,NA
ALLEN-OTTER CREEK CCSD 65,Illinois,1703420,NA
ALLENDALE 01,South Carolina,4500750,http://www.acs.k12.sc.us
ALLENDALE CCSD 17,Illinois,1703450,NA
ALLENDALE PUBLIC SCHOOL DISTRICT,New Jersey,3400750,http://www.allendalek8.com
ALLENDALE PUBLIC SCHOOLS,Michigan,2602550,http://www.allendale.k12.mi.us
ALLENSTOWN SCHOOL DISTRICT,New Hampshire,3301380,NA
ALLENSWORTH ELEMENTARY,California,0601980,http://www.tcoe.org/districts/allensworth.shtm
ALLENTOWN CITY SD,Pennsylvania,4202280,http://www.allentownsd.org/
ALLIANCE ACADEMY OF CINCINNATI,Ohio,3900130,http://www.nhaschools.com/schools/alliance/en/pages/default
ALLIANCE CITY,Ohio,3904349,http://www.alliancecityschools.org/
ALLIANCE FOR PROGRESS CS,Pennsylvania,4200039,http://www.afpcs.org
ALLIANCE PUBLIC SCHOOLS,Nebraska,3102910,NA
ALLOWAY TWP SCHOOL DISTRICT,New Jersey,3400810,http://www.allowayschool.org
ALMA CENTER SCHOOL DISTRICT,Wisconsin,5500210,http://www.achm.k12.wi.us
ALMA D'ARTE CHARTER,New Mexico,3500116,NA
ALMA DEL MAR CHARTER SCHOOL (DISTRICT),Massachusetts,2500525,http://almadelmar.org
ALMA PUBLIC SCHOOLS,Nebraska,3100080,NA
ALMA PUBLIC SCHOOLS,Michigan,2602640,http://www.almaschools.net
ALMA SCHOOL DISTRICT,Arkansas,0502250,http://www.AlmaSD.net
ALMA SCHOOL DISTRICT,Wisconsin,5500180,http://www.alma.k12.wi.us
ALMIRA SCHOOL DISTRICT,Washington,5300090,http://www.achsd.org/almira.htm
ALMOND-BANCROFT SCHOOL DISTRICT,Wisconsin,5500240,http://www.abschools.k12.wi.us
